,movie,location,year,year_group,latitude,longitude
926,The Super Cops (1974),"The Montague, Montague Street (btw Hicks Street and Henry Street) Brooklyn.",1974,1970s,40.684816,-73.999081
927,The Super Cops (1974),"Hicks Street and Montague Street, Brooklyn.",1974,1970s,40.695221,-73.995855
928,The Super Cops (1974),"Wonder Wheel, Coney Island, New York.",1974,1970s,40.5749261,-73.9859414
929,The Super Cops (1974),"Chambers Street and Centre Street, Manhattan.",1974,1970s,40.7131335,-74.0040497
930,The Super (1991),East 11th Street (btw Avenue A and Avenue B) Manhattan.,1991,1990s,40.7560455,-74.0028513
931,The Super (1991),533 East 11th Street (btw Avenue A and Avenue B) Manhattan.,1991,1990s,40.7256804,-73.9807682
932,Sunday in New York (1963),"Vanderbilt Avenue and East 43rd Street, Manhattan.",1963,1960s,40.7531323,-73.977917
933,Sunday in New York (1963),5th Avenue (btw East 65th and 66th Streets) Manhattan.,1963,1960s,40.7739382,-73.9823482
934,Sunday in New York (1963),"Rockefeller Center, 5th Avenue (btw 49th and 50th Streets) Manhattan.",1963,1960s,40.7627781,-73.9872089
935,Sunday in New York (1963),"Rockefeller Center, 5th Avenue (btw 49th and 50th Streets) Manhattan.",1963,1960s,40.7627781,-73.9872089
936,Sunday in New York (1963),"Restaurant (Ice Rink) Rockefeller Plaza, Manhattan.",1963,1960s,40.7587402,-73.9786736
937,Sunday in New York (1963),"Boating Lake, Central Park, Manhattan.",1963,1960s,40.7711329,-73.9741874
938,Sunday in New York (1963),"Central Park South and Grand Army Plaza, Manhattan.",1963,1960s,40.764591,-73.9736523
939,Summer of Sam (1999),"Studio 54, 254 West 54th Street and 8th Avenue, Manhattan.",1999,1990s,40.7647976,-73.9842943
940,Sugar Hill (1993),"Roemello's Apartment, 440 Riverside Drive and West 116th Street, Manhattan.",1993,1990s,40.8050482,-73.956822
941,Suburban Girl (2007),"New York Historical Society, 170 Central Park West and 77th Street, Manhattan.",2007,2000s,40.7729586,-73.9582543
942,Suburban Girl (2007),"Archie Knox's Townhouse, 159 East 61st Street and Lexington Avenue, Manhattan.",2007,2000s,40.773008,-73.96032
943,Suburban Girl (2007),"Breet Eisenberg's Apartment, 404 Riverside Drive and West 113th Street, Manhattan.",2007,2000s,40.8031131,-73.9582361
944,Suburban Girl (2007),"Bergdorf Goodman Store, 754 5th Avenue and West 58th Street, Manhattan.",2007,2000s,40.7678687,-73.9834487
945,Suburban Girl (2007),"Biography Bookshop, 400 Bleecker Street and West 11th Street, Manhattan.",2007,2000s,40.7363018,-74.002765
946,Suburban Girl (2007),"Cinema Village, 22 East 12th Street and 5th Avenue, Manhattan.",2007,2000s,40.774734,-73.9653844
947,Suburban Girl (2007),"5th Avenue and Central Park, Manhattan.",2007,2000s,40.7642832,-73.9730166
948,St. Vincent (2014),"City Hall Park, Broadway and Park Row South, Manhattan.",2014,2010s,40.7120032,-74.0081046
949,Stuart Little 2 (2002),"The Mall, Central Park, Manhattan.",2002,2000s,40.7723522,-73.9715901
950,Stuart Little 2 (2002),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",2002,2000s,40.7787287,-73.9819095
951,Stuart Little (1999),"Brooklyn Bridge, Lower East Side, Manhattan.",1999,1990s,40.7047531,-73.9953261
952,Stuart Little (1999),"Times Square, Manhattan.",1999,1990s,40.759011,-73.9844722
953,Striking Distance (1993),"Allegheny County Courthouse, Pittsburgh, Pennsylvania.",1993,1990s,40.4384,-79.9961
954,Strictly Business (1991),"Brooklyn Heights, Brooklyn.",1991,1990s,40.6960105,-73.9932872
955,Strictly Business (1991),"The DownTown Club, 20 West Street and Morris Street, Manhattan.",1991,1990s,40.7064443,-74.0151085
956,Strictly Business (1991),"Natalie's Apartment, 220 Plymouth Street and Bridge Street, Brooklyn.",1991,1990s,40.6974659,-73.9849816
957,Strictly Business (1991),"Waymon's Workplace, 3 Park Avenue and East 34th Street, Manhattan.",1991,1990s,40.7457167,-73.9781195
958,Strangers on a Train (1951),"Pennsylvania Station, 8th Avenue and West 34th Street, Manhattan.",1951,1950s,40.7530734,-73.9955337
959,Strange Invaders (1983),"Columbia University, Broadway and West 116th Street, Manhattan.",1983,1980s,40.8050482,-73.956822
960,Strange Invaders (1983),"404 Riverside Drive and West 113th Street, Manhattan.",1983,1980s,40.8069805,-73.9675044
961,Strange Invaders (1983),"8 East 63rd Street and 5th Avenue, Manhattan.",1983,1980s,40.7667738,-73.9711954
962,Strange Invaders (1983),"Times Square, Manhattan.",1983,1980s,40.759011,-73.9844722
963,Strange Invaders (1983),"West 116th Street and Riverside Drive, Manhattan.",1983,1980s,40.8088026,-73.9658146
964,Strange Invaders (1983),"5th Avenue and East 63rd Street, Manhattan.",1983,1980s,40.7667738,-73.9711954
965,Still Alice (2014),"Columbia University, Broadway and West 116th Street, Manhattan.",2014,2010s,40.8050482,-73.956822
966,Still Alice (2014),"Pinkberry, 2873 Broadway and West 112th Street, Manhattan.",2014,2010s,40.8018685,-73.9572374
967,Still Alice (2014),"Alice's Brownstone, 431 West 162nd Street & Amsterdam Avenue, Washington Heights.",2014,2010s,40.8439392,-73.9339574
968,Step Up 3D (2010),"Washington Square Gardens, Greenwich Village, Manhattan.",2010,2010s,40.7314658,-73.9970956
969,Step Up 3D (2010),"Times Square, Manhattan.",2010,2010s,40.759011,-73.9844722
970,Step Up 3D (2010),"Water Street and Old Dock Street, Brooklyn.",2010,2010s,40.7033047,-73.9925663
971,Step Up 3D (2010),"105 East 10th Street and 3rd Avenue, Manhattan.",2010,2010s,40.7307173,-73.989061
972,Step Up 3D (2010),"Bedford Avenue and North 6th Street, Brooklyn.",2010,2010s,40.7172845,-73.958315
973,Step Up 3D (2010),"East 10th Street and 3rd Avenue, Manhattan.",2010,2010s,40.7307173,-73.989061
974,Step Up 3D (2010),"East 10th Street and Stuyvesant Street, Manhattan.",2010,2010s,40.7300711,-73.9875443
975,Step Up 3D (2010),"New Dock Street (East River) and Water Street, Brooklyn.",2010,2010s,42.1072755,-84.2469113
976,Step Up 3D (2010),"Relish Diner, 225 Wythe Avenue and North 3rd Street, Brooklyn.",2010,2010s,38.6591331,-90.1691563
977,Step Up 3D (2010),"Gotham Hall, 1356 Broadway and West 36th Street, Manhattan.",2010,2010s,40.7514469,-73.987707
978,Step Up 3D (2010),"NYU, 35 5th Avenue and East 10th Street, Manhattan.",2010,2010s,40.7287487,-73.9844522
979,Step Up 3D (2010),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2010,2010s,40.7779534,-73.9589565
980,The Sunshine Boys (1975),"Times Square, Manhattan.",1975,1970s,40.759011,-73.9844722
981,The Sunshine Boys (1975),"Willy's Apartment, 2109 Broadway and West 73rd Street, Manhattan.",1975,1970s,40.7792284,-73.9809439
982,The Sunshine Boys (1975),"Broadway and West 73rd Street, Manhattan.",1975,1970s,40.779595,-73.9818263
983,The Sunshine Boys (1975),Broadway (btw West 53rd and 54th Street) Manhattan.,1975,1970s,40.7647976,-73.9842943
984,The Sunshine Boys (1975),"Friars Club, 57 East 55th Street and Park Avenue, Manhattan.",1975,1970s,40.7779534,-73.9589565
985,Stepmom (1998),"Spring Street and Wooster Street, Manhattan.",1998,1990s,40.7241796,-74.0011327
986,Stepmom (1998),Conservatory Water Central Park (from 72nd to 75th Street) Manhattan.,1998,1990s,40.7707563,-73.9569408
987,Stepmom (1998),"Belvedere Castle, Central Park, Manhattan.",1998,1990s,40.7794302,-73.9690677
988,Stepmom (1998),"L'Absinthe Restaurant, 227 East 67th Street and 2nd Avenue, Manhattan.",1998,1990s,40.7643734,-73.9616091
989,Stepmom (1998),"Isabel's Apartment, 139 Spring Street and Wooster Street, Manhattan.",1998,1990s,40.7241796,-74.0011327
990,Stepmom (1998),"Washington Square Park North, Manhattan.",1998,1990s,40.7308228,-73.997332
991,Stepmom (1998),"Wollman Rink (btw East 62nd & 63rd Street) Central Park, Manhattan.",1998,1990s,40.7736326,-73.9874643
992,Staying Alive (1983),"Fulton Hotel, 264 West 46th Street and 8th Avenue, Manhattan.",1983,1980s,40.8165192,-73.9465432
993,Staying Alive (1983),"Central Park South and Grand Army Plaza, Manhattan.",1983,1980s,40.764591,-73.9736523
994,Staying Alive (1983),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",1983,1980s,40.7787287,-73.9819095
995,Staying Alive (1983),"The Mall, Central Park, Manhattan.",1983,1980s,40.7723522,-73.9715901
996,Staying Alive (1983),"Studios, 250 West Street and Hubert Street, Manhattan.",1983,1980s,40.7214706,-74.0100498
997,Staying Alive (1983),"Times Square, Manhattan.",1983,1980s,40.759011,-73.9844722
998,Stay (2005),"The Cherokee, 509 East 77th Street and Cherokee Place, Manhattan.",2005,2000s,40.7694496,-73.9499302
999,Stay (2005),"Brooklyn Bridge, Lower East Side, Manhattan.",2005,2000s,40.7047531,-73.9953261
1000,Stateside (2004),"Cinema Village, 22 East 12th Street and 5th Avenue, Manhattan.",2004,2000s,40.774734,-73.9653844
1001,Stateside (2004),"Bridge Cafe, 279 Water Street and Dover Street, Manhattan.",2004,2000s,40.7086992,-74.0007694
1002,State of Grace (1990),"Queensbridge Park, Queens.",1990,1990s,40.7566953,-73.9484021
1003,State of Grace (1990),"Old Town Bar, 45 East 18th Street and Park Avenue, Manhattan.",1990,1990s,40.7779534,-73.9589565
1004,State of Grace (1990),"Bar, 176 Mulberry street and Broome Street, Manhattan.",1990,1990s,40.7193626,-73.9942698
1005,State of Grace (1990),"Loews Regency Hotel, 540 Park Avenue and East 61st Street, Manhattan.",1990,1990s,40.7628086,-73.965688
1006,State of Grace (1990),"Times Square, Manhattan.",1990,1990s,40.759011,-73.9844722
1007,State of Grace (1990),"Fanelli Cafe, 94 Prince Street and Mercer Street, Manhattan.",1990,1990s,40.7257515,-73.9976728
1008,State of Grace (1990),"Mercer Street and Prince Street, Manhattan.",1990,1990s,40.724628,-73.9986114
1009,State of Grace (1990),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",1990,1990s,40.7779534,-73.9589565
1010,Starting Out in the Evening (2007),"Shining Star Restaurant, 377 Amsterdam Avenue and West 78th Street, Manhattan.",2007,2000s,40.7831309,-73.9804007
1011,Starting Out in the Evening (2007),"Josie's, 300 Amsterdam Avenue and West 74th Street, Manhattan.",2007,2000s,40.7775456,-73.9750068
1012,Starting Out in the Evening (2007),"Cinema Village, 22 East 12th Street and 5th Avenue, Manhattan.",2007,2000s,40.774734,-73.9653844
1013,The Squid and the Whale (2005),"Brownstone, 167 6th Avenue and Saint Johns Place, Brooklyn.",2005,2000s,40.6714824,-73.9475632
1014,The Squid and the Whale (2005),"Pathway (near Jacqueline Kennedy Onassis Reservoir) Central Park, Manhattan.",2005,2000s,40.785719,-73.9639021
1015,The Squid and the Whale (2005),"Natural History Museum, Central Park West and 79th Street, Manhattan.",2005,2000s,40.7813241,-73.9739882
1016,Spread (2009),"Subway Station, West 42nd Street and Broadway, Manhattan.",2009,2000s,40.759011,-73.9844722
1017,Spread (2009),"Times Square, Manhattan.",2009,2000s,40.759011,-73.9844722
1018,Spread (2009),"Heather's Apartment, 110 Greene Street (btw Spring and Prince Streets) Manhattan.",2009,2000s,40.724628,-73.9986114
1019,Splash (1984),"Statue of Liberty, Liberty Island, New York Harbor.",1984,1980s,,
1020,Splash (1984),"Allen's Apartment, 25 Tudor City Place, Manhattan.",1984,1980s,40.7486425,-73.9705079
1021,Splash (1984),"Bloomingdale's, 1000 3rd Avenue and East 59th Street, Manhattan.",1984,1980s,40.7615589,-73.9666034
1022,Splash (1984),"Marble Collegiate Church, 1 West 29th Street, Manhattan.",1984,1980s,40.7457812,-73.9874759
1023,Splash (1984),"East 57th Street and Madison Avenue, Manhattan.",1984,1980s,40.7623136,-73.972405
1024,Splash (1984),Cadman Plaza and Furman Street (near Brooklyn Bridge) Brooklyn.,1984,1980s,40.7010457,-73.9906712
1025,Splash (1984),"American Museum of Natural History, Central Park West and 79th Street, Manhattan.",1984,1980s,40.7813241,-73.9739882
1026,Spider-Man 3 (2007),"Times Square, Manhattan.",2007,2000s,40.759011,-73.9844722
1027,Spider-Man 3 (2007),"West 55th Street and 6th Avenue, Manhattan.",2007,2000s,40.76303,-73.9781429
1028,Spider-Man 3 (2007),"The Daily Bugle, 175 5th Avenue (btw 22nd and 23rd Street) Manhattan.",2007,2000s,40.7452994,-73.9984832
1029,Spider-Man 3 (2007),"Harry Osborn's Apartment, East 40th Street and 1st Avenue, Manhattan.",2007,2000s,40.7229941,-73.9885251
1030,Spider-Man 3 (2007),"Bow Bridge (Mid-Park at 74th Street) Central Park, Manhattan.",2007,2000s,40.7775456,-73.9750068
1031,Spider-Man 2 (2004),"Joe's Pizza, 233 Bleecker Street and Carmine Street, Manhattan.",2004,2000s,40.7298646,-74.003972
1032,Spider-Man 2 (2004),"Columbia University, Broadway and 116th Street, Manhattan.",2004,2000s,40.7979563,-73.9400123
1033,Spider-Man 2 (2004),"Peter Parker's Apartment, 187 Chrystie Street and Stanton Street, Manhattan. ",2004,2000s,40.720757,-73.9861608
1034,Spider-Man 2 (2004),"Dr Octavius' Lab, 32 2nd Avenue and East 2nd Street, Manhattan.",2004,2000s,40.7230145,-73.9857665
1035,Spider-Man 2 (2004),"Centre Street and Chambers Street, Financial, Manhattan.",2004,2000s,40.7131335,-74.0040497
1036,Spider-Man 2 (2004),"Riverside Church, 490 Riverside Drive and West 120th Street, Manhattan.",2004,2000s,40.8076104,-73.954949
1037,A Stranger Among Us (1992),"Forest Avenue and Putnam Avenue, Queens.",1992,1990s,40.7051482,-73.9021201
1038,A Stranger Among Us (1992),"83rd Precinct, Knickerbocker Avenue and Bleecker Street, Brooklyn.",1992,1990s,40.698537,-73.917872
1039,A Stranger Among Us (1992),Williamsburg Bridge.,1992,1990s,40.7143492,-73.9744315
1040,A Stranger Among Us (1992),"West 47th Street and 6th Avenue, Manhattan.",1992,1990s,40.7580271,-73.9818061
1041,Spider-Man (2002),"Columbia University, Broadway and West 116th Street, Manhattan.",2002,2000s,40.8050482,-73.956822
1042,Spider-Man (2002),"Norman Osborn's Apartment, East 40th Street and 1st Avenue, Manhattan.",2002,2000s,40.7229941,-73.9885251
1043,Spider-Man (2002),"New York Public Library, 5th Avenue and 42nd Street, Manhattan.",2002,2000s,40.7127837,-74.0059413
1044,Spider-Man (2002),"The Daily Bugle, 175 5th Avenue (btw 22nd and 23rd Street) Manhattan.",2002,2000s,40.7452994,-73.9984832
1045,Spider-Man (2002),"Rockefeller Roof Gardens, 5th Avenue (btw 49th and 50th Streets) Manhattan.",2002,2000s,40.7627781,-73.9872089
1046,Spider-Man (2002),Roosevelt Island Tramway (connects Roosevelt Island to Manhattan).,2002,2000s,40.7605031,-73.9509934
1047,Speedy (1928),"Pennsylvania Station, 8th Avenue and West 34th Street, Manhattan.",1928,1920s,40.7530734,-73.9955337
1048,The Speed of Thought (2011),"Joshua's Apartment, 345 West 13th Street and Hudson Street, Manhattan.",2011,2010s,40.7280616,-74.007204
1049,The Speed of Thought (2011),"Union Square West and East 16th Street, Manhattan.",2011,2010s,40.7365263,-73.9907908
1050,The Speed of Thought (2011),"Central Park West and West 69th Street, Manhattan.",2011,2010s,40.7742987,-73.9773788
1051,The Speed of Thought (2011),"Strawberry Fields, Central Park, Manhattan.",2011,2010s,40.7755555,-73.9747222
1052,The Spanish Prisoner (1997),1067 5th Avenue (btw East 87th and 88th Streets) Manhattan.,1997,1990s,39.2447411,-96.7471588
1053,The Spanish Prisoner (1997),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",1997,1990s,40.7787287,-73.9819095
1054,The Spanish Prisoner (1997),"Tunnel, Central Park, Manhattan.",1997,1990s,40.7500713,-73.9690429
1055,The Spanish Prisoner (1997),"Carousel, Central Park, Manhattan.",1997,1990s,40.7711329,-73.9741874
1056,Space Jam (1996),"Madison Square Garden, 4 Pennsylvania Plaza (8th Avenue & 33rd Street) Manhattan.",1996,1990s,40.7487875,-73.9886949
1057,"Sorry, Haters (2005)","East 22nd Street and Park Avenue, Manhattan.",2005,2000s,40.7395251,-73.9869087
1058,"Sorry, Haters (2005)","Restaurant, 45 East 22nd Street and Park Avenue, Manhattan.",2005,2000s,40.7779534,-73.9589565
1059,"Sorry, Haters (2005)","26 New Dock Street, Brooklyn.",2005,2000s,40.7037973,-73.9933534
1060,The Sorcerer's Apprentice (2010),"Williamsburg Bridge (Delancey Street, Manhattan to Williamsburg, Brooklyn).",2010,2010s,40.7176254,-73.9858255
1061,The Sorcerer's Apprentice (2010),"Battery Park, Manhattan.",2010,2010s,40.7032775,-74.0170279
1062,The Sorcerer's Apprentice (2010),"Washington Square East and West 4th Street, Manhattan.",2010,2010s,40.7295668,-73.9965785
1063,The Sorcerer's Apprentice (2010),"The Apthorp, 2211 Broadway (btw West 78th & 79th Streets) Manhattan.",2010,2010s,40.773338,-73.9550579
1064,The Sorcerer's Apprentice (2010),"Dave Stutler's Apartment, Broadway and Marcy Avenue, Brooklyn.",2010,2010s,40.6975765,-73.9496477
1065,The Sorcerer's Apprentice (2010),"Chrysler Building, 405 Lexington Avenue and East 42nd Street, Manhattan.",2010,2010s,40.750354,-73.9734633
1066,The Sorcerer's Apprentice (2010),"Morris Street and Broadway, Financial, Manhattan.",2010,2010s,40.7058872,-74.0132698
1067,The Sorcerer's Apprentice (2010),"Alley, Franklin Place and White Street, Manhattan.",2010,2010s,40.7183326,-74.0036543
1068,The Sorcerer's Apprentice (2010),"Balthazar Blake's Shop (Arcana Cabana) 60 White Street, Manhattan.",2010,2010s,40.7185,-74.003523
1069,The Sorcerer's Apprentice (2010),"82 Washington Square East and Washington Place, Manhattan.",2010,2010s,40.7301664,-73.9960769
1070,The Sorcerer's Apprentice (2010),"Times Square, Manhattan.",2010,2010s,40.759011,-73.9844722
1071,The Sorcerer's Apprentice (2010),5th Avenue (btw East 50th and 51st Streets) Manhattan.,2010,2010s,40.762915,-73.985647
1072,The Sorcerer's Apprentice (2010),"Bowling Green Park, Broadway, Manhattan.",2010,2010s,40.7055537,-74.0134436
1073,Spread (2009),"Brooklyn Bridge, Lower East Side, Manhattan.",2009,2000s,40.7047531,-73.9953261
1074,The Son of No One (2011),"Queensboro Bridge, East 59th Street (btw Manhattan and Queens) New York.",2011,2010s,40.7282239,-73.7948516
1075,The Son of No One (2011),"Queensbridge Park (near Vernon Boulevard) Astoria, Queens.",2011,2010s,40.7668297,-73.9386347
1076,The Son of No One (2011),"34 Vernon Boulevard and 41st Avenue, Astoria, Queens.",2011,2010s,40.7564396,-73.9472995
1077,Song One (2014),"Coler-Goldwater Memorial Hospital, 1 Main Street, Roosevelt Island, New York.",2014,2010s,40.7547869,-73.9562773
1078,Song One (2014),"Subway, Delancey Street and Chrystie Street, Manhattan.",2014,2010s,40.7199205,-73.9929172
1079,Song One (2014),"Bowery Ballroom, 6 Delancey Street and Chrystie Street, Manhattan.",2014,2010s,40.7199205,-73.9929172
1080,Song One (2014),"Henry's Apartment, 255 McKibbin Street (btw Bushwick Avenue & White Street) Brooklyn.",2014,2010s,40.705319,-73.93525
1081,Song One (2014),"Guitar Shop, 139 Franklin Street and Java Street, Brooklyn.",2014,2010s,40.7316207,-73.9545
1082,Song One (2014),"Berry Street and N 11th Street, Brooklyn.",2014,2010s,40.7208401,-73.9566414
1083,Something Wild (1986),"Diner, 110 6th Avenue and Watts Street, Manhattan.",1986,1980s,40.7238337,-74.0066394
1084,Something's Gotta Give (2003),"Broadway and East 18th Street, Manhattan.",2003,2000s,40.7378063,-73.9901465
1085,Something's Gotta Give (2003),"Christies, 1230 Avenue of the Americas and West 49th Street, Manhattan..",2003,2000s,40.7621437,-73.9877012
1086,Something's Gotta Give (2003),"Harry's Townhouse, 115 East 78th Street and Park Avenue, Manhattan.",2003,2000s,40.7779534,-73.9589565
1087,Something Borrowed (2011),"Crimson Club, 915 Broadway and East 21st Street, Manhattan.",2011,2010s,40.7379132,-73.9849673
1088,Something Borrowed (2011),"Spring Lounge, 48 Spring Street and Mulberry Street, Manhattan.",2011,2010s,40.7193269,-73.9973174
1089,Something Borrowed (2011),"Rachel's Apartment, 116 East 10th Street and Stuyvesant Street, Manhattan.",2011,2010s,40.7299553,-73.9880663
1090,Something Borrowed (2011),"Queensboro Bridge, East 59th Street (btw Manhattan and Queens) New York.",2011,2010s,40.7282239,-73.7948516
1091,Something Borrowed (2011),"Shake Shack, South East Corner and East 23rd Street, Manhattan.",2011,2010s,40.7383628,-73.9820323
1092,Something Borrowed (2011),"Centro Vinoteca, 7th Avenue South and Bleecker Street, Manhattan.",2011,2010s,40.7287995,-74.0004449
1093,Something Borrowed (2011),"East 10th Street and Stuyvesant Street, Manhattan.",2011,2010s,40.7300711,-73.9875443
1094,Something Borrowed (2011),"Madison Square Park, Madison Avenue and East 25th Street, Manhattan.",2011,2010s,40.7421402,-73.9870617
1095,Something Borrowed (2011),"Ted Gibson Salon, 184 5th Avenue and West 23rd Street, Manhattan.",2011,2010s,40.7452994,-73.9984832
1096,Something Borrowed (2011),"East 20th Street and Gramercy Park East, Manhattan.",2011,2010s,40.7373119,-73.9853969
1097,Somebody Up There Likes Me (1956),"Adams Street and Water Street, Brooklyn.",1956,1950s,40.7031706,-73.9887564
1098,Somebody Up There Likes Me (1956),"Orchard Street and Hester Street, Manhattan.",1956,1950s,40.7160345,-73.9913061
1099,Somebody Up There Likes Me (1956),"New York County Supreme Court, 60 Centre Street, Financial, Manhattan.",1956,1950s,40.7830603,-73.9712488
1100,Someone to Watch Over Me (1987),"Claire Gregory's Apartment, 8 East 62nd Street and 5th Avenue, Manhattan.",1987,1980s,40.774734,-73.9653844
1101,Someone to Watch Over Me (1987),"Bergdorf Goodman Store, 754 5th Avenue and West 58th Street, Manhattan.",1987,1980s,40.7678687,-73.9834487
1102,Someone to Watch Over Me (1987),"Guggenheim Museum, 1071 5th Avenue and East 89th Street, Manhattan.",1987,1980s,40.7798082,-73.9503372
1103,Someone Like You (2001),"Catherine Street and Henry Street, Manhattan.",2001,2000s,40.7127994,-73.9971104
1104,Someone Like You (2001),Elizabeth Street (btw Prince Street and East Houston Street) Manhattan.,2001,2000s,40.7219351,-73.9855532
1105,Someone Like You (2001),"Cafe Habana, 17 Prince Street and Elizabeth Street, Manhattan.",2001,2000s,40.720633,-73.9949718
1106,Someone Like You (2001),"Grand Street and Greene Street, Manhattan.",2001,2000s,40.7216256,-74.0022137
1107,Someone Like You (2001),"Hogs & Heifers Bar, 859 Washington Street and West 13th Street, Manhattan.",2001,2000s,40.7387095,-74.0021741
1108,Someone Like You (2001),"Jane's Apartment, 425 West 13th Street and Washington Street, Manhattan.",2001,2000s,45.8574023,-111.3236956
1109,Somebody Killed Her Husband (1978),"Macy's Store, 151 West 34th Street (btw 6th and 7th Avenues) Manhattan.",1978,1970s,40.7830603,-73.9712488
1110,Somebody Killed Her Husband (1978),"Madison Square Park, Madison Avenue and East 25th Street, Manhattan.",1978,1970s,40.7421402,-73.9870617
1111,Somebody Killed Her Husband (1978),"Jenny Moore's Apartment, East 57th Street and Sutton Place, Manhattan.",1978,1970s,40.7576281,-73.961698
1112,Somebody Killed Her Husband (1978),"Sutton Place Playground, East River, Manhattan.",1978,1970s,40.7830603,-73.9712488
1113,Solitary Man (2009),5th Avenue (btw West 72nd and 73rd Streets) Manhattan.,2009,2000s,40.7695527,-73.9580297
1114,Solitary Man (2009),"French Roast Diner, 2340 Broadway and West 85th Street, Manhattan.",2009,2000s,40.7870079,-73.9755177
1115,Solitary Man (2009),"JFK International Airport, Queens.",2009,2000s,40.6413111,-73.7781391
1116,Solitary Man (2009),"Atlantic Grill, 1341 3rd Avenue and East 77th Street, Manhattan.",2009,2000s,40.7729586,-73.9582543
1117,Solitary Man (2009),"Natural History Museum, Central Park West and 79th Street, Manhattan.",2009,2000s,40.7813241,-73.9739882
1118,So Fine (1981),"Bergdorf Goodman Store, 754 5th Avenue and West 58th Street, Manhattan.",1981,1980s,40.7678687,-73.9834487
1119,So Fine (1981),"Times Square, Manhattan.",1981,1980s,40.759011,-73.9844722
1120,So Fine (1981),"Natural History Museum, Central Park West and 79th Street, Manhattan.",1981,1980s,40.7813241,-73.9739882
1121,So Fine (1981),"East 19th Street and Irving Place, Manhattan.",1981,1980s,40.737027,-73.9865473
1122,So Fine (1981),"Eddie's Townhouse, 203 Prince Street and MacDougal Street, Manhattan.",1981,1980s,40.7299997,-74.0005119
1123,The Smurfs (2011),"Boathouse, Prospect Park, Brooklyn.",2011,2010s,40.6602037,-73.9689558
1124,The Smurfs (2011),"Pond (Near Gapstow Bridge) Central Park, Manhattan.",2011,2010s,40.7669254,-73.9737939
1125,The Smurfs (2011),"Winslow's Apartment, 111 East 7th Street (btw 1st Avenue & Avenue A) Manhattan.",2011,2010s,40.7260554,-73.9835429
1126,The Smurfs (2011),"The Mall, Central Park, Manhattan.",2011,2010s,40.7723522,-73.9715901
1127,The Smurfs (2011),"Belvedere Castle, Central Park, Manhattan.",2011,2010s,40.7794302,-73.9690677
1128,The Smurfs (2011),"East 42nd Street and 6th Avenue, Manhattan.",2011,2010s,40.7548529,-73.9841244
1129,The Smurfs (2011),"Rockefeller Center, 5th Avenue (btw 49th and 50th Streets) Manhattan.",2011,2010s,40.7627781,-73.9872089
1130,The Smurfs (2011),"The Russian Tea Room, 150 West 57th Street and 7th Avenue, Manhattan.",2011,2010s,40.73658,-74.0011456
1131,The Smurfs (2011),"FAO Schwarz (Toy Store) 767 5th Avenue and East 59th Street, Manhattan.",2011,2010s,40.7615589,-73.9666034
1132,The Smurfs (2011),"Times Square, Manhattan.",2011,2010s,40.759011,-73.9844722
1133,The Smurfs (2011),"Cortlandt Alley and Walker Street, Manhattan.",2011,2010s,40.7183168,-74.0018397
1134,The Smurfs (2011),"Housing Works Bookstore Cafe, 126 Crosby Street and Prince Street, Manhattan.",2011,2010s,40.724628,-73.9986114
1135,The Smurfs (2011),"Columbus Circle and Central Park West, Manhattan.",2011,2010s,40.7682791,-73.9814387
1136,Small Time Crooks (2000),"316 East 83rd Street and 1st Avenue, Manhattan.",2000,2000s,40.774927,-73.9507894
1137,Small Time Crooks (2000),"Hotel, 318 West 51st Street and 8th Avenue, Manhattan.",2000,2000s,40.8165192,-73.9465432
1138,Small Time Crooks (2000),"Cookie Shop, West 145th Street and Amsterdam Avenue, Manhattan.",2000,2000s,40.8134133,-73.9562303
1139,Small Time Crooks (2000),"Ray's Apartment, 1169 Park Avenue and East 92nd Street, Manhattan.",2000,2000s,40.7824597,-73.9508414
1140,Small Time Crooks (2000),"Doyers Street and Chatham Square, Chinatown, Manhattan.",2000,2000s,40.7140518,-73.997587
1141,Small Time Crooks (2000),"Metropolitan Museum of Art, 1000 5th Avenue and East 82nd Street, Manhattan.",2000,2000s,40.7752992,-73.9536403
1142,Small Time Crooks (2000),"43 East 5th Avenue and 11th Street, Manhattan.",2000,2000s,40.7340256,-73.9950724
1143,Small Time Crooks (2000),"Washington Square North and Waverly Place, Manhattan.",2000,2000s,40.7322213,-73.9986277
1144,Sliver (1993),"Carly Norris Apartment, 211 Madison Avenue and East 36th Street, Manhattan.",1993,1990s,40.7471168,-73.9773792
1145,Sliver (1993),Reservoir Bridge Central Park (West 94th Street) Manhattan.,1993,1990s,40.7927713,-73.97133
1146,Sliver (1993),"Gym, West 42nd Street (btw 7th & 8th Avenues) Manhattan.",1993,1990s,40.7830603,-73.9712488
1147,Sliver (1993),"Electronic Shop, 5th Avenue and East 38th Street, Manhattan.",1993,1990s,40.748337,-73.9764914
1148,Sliver (1993),"New York Public Library, 5th Avenue (btw 40th and 42nd Street) Manhattan.",1993,1990s,40.7127837,-74.0059413
